word,importance,surrogate,metric,kernel_width,iteration_id
I,-0.0794219721161973,ridge,cosine,0.1925,1
had,0.07562491146393988,ridge,cosine,0.1925,1
a,0.2767585846229082,ridge,cosine,0.1925,1
fitsnatac,-0.14495603939902416,ridge,cosine,0.1925,1
time,-0.02126286939689138,ridge,cosine,0.1925,1
at,-0.04182835304736677,ridge,cosine,0.1925,1
this,-0.2806002038221767,ridge,cosine,0.1925,1
event,-0.06754164593679263,ridge,cosine,0.1925,1
It,0.09643015455588524,ridge,cosine,0.1925,1
was,0.04592803511986219,ridge,cosine,0.1925,1
wlel,-0.027601353098964734,ridge,cosine,0.1925,1
orngaiezd,-0.10909142443363423,ridge,cosine,0.1925,1
and,-0.2333062120390351,ridge,cosine,0.1925,1
eyojned,-0.07301833174614276,ridge,cosine,0.1925,1
evrey,-0.03570597338382156,ridge,cosine,0.1925,1
moment,-0.15882487255911257,ridge,cosine,0.1925,1
of,-0.040411656556237,ridge,cosine,0.1925,1
it,-0.006880465991975027,ridge,cosine,0.1925,1
The,0.08257531493069892,ridge,cosine,0.1925,1
speakers,0.035999432559719435,ridge,cosine,0.1925,1
were,0.09989768161900692,ridge,cosine,0.1925,1
konwledgaeble,-0.003768319614486481,ridge,cosine,0.1925,1
insihgftul,-0.19456990575263894,ridge,cosine,0.1925,1
laerned,-0.07418625364823124,ridge,cosine,0.1925,1
lot,0.16816996688136782,ridge,cosine,0.1925,1
from,0.046303322359713496,ridge,cosine,0.1925,1
them,-0.019524570132612835,ridge,cosine,0.1925,1
I,-0.05536758704689599,lasso,cosine,0.1925,1
had,0.050680378528285455,lasso,cosine,0.1925,1
a,0.2464116424409196,lasso,cosine,0.1925,1
fitsnatac,-0.11009321400936237,lasso,cosine,0.1925,1
time,-0.0,lasso,cosine,0.1925,1
at,-0.0,lasso,cosine,0.1925,1
this,-0.2263393220062829,lasso,cosine,0.1925,1
event,-0.03229319081130402,lasso,cosine,0.1925,1
It,0.05411166523673258,lasso,cosine,0.1925,1
was,0.0,lasso,cosine,0.1925,1
wlel,-0.0,lasso,cosine,0.1925,1
orngaiezd,-0.023844551750015888,lasso,cosine,0.1925,1
and,-0.21874025927526397,lasso,cosine,0.1925,1
eyojned,-0.007957830354089814,lasso,cosine,0.1925,1
evrey,-0.0,lasso,cosine,0.1925,1
moment,-0.09730971245617334,lasso,cosine,0.1925,1
of,-0.0,lasso,cosine,0.1925,1
it,0.0,lasso,cosine,0.1925,1
The,0.06378687677414646,lasso,cosine,0.1925,1
speakers,0.022146556698500137,lasso,cosine,0.1925,1
were,0.04296268435890041,lasso,cosine,0.1925,1
konwledgaeble,-0.0,lasso,cosine,0.1925,1
insihgftul,-0.15564335332470375,lasso,cosine,0.1925,1
laerned,-0.015259485909741135,lasso,cosine,0.1925,1
lot,0.11594440642849448,lasso,cosine,0.1925,1
from,0.0061097806641132795,lasso,cosine,0.1925,1
them,-0.0,lasso,cosine,0.1925,1
I,0.0,decision_tree,cosine,0.1925,1
had,0.0,decision_tree,cosine,0.1925,1
a,0.20734324591095343,decision_tree,cosine,0.1925,1
fitsnatac,0.0169108692450414,decision_tree,cosine,0.1925,1
time,0.0,decision_tree,cosine,0.1925,1
at,0.0,decision_tree,cosine,0.1925,1
this,0.22085493949207474,decision_tree,cosine,0.1925,1
