word,importance,metric,kernel_width,mean_weight,num_features,iteration
I,-0.04533082766051203,cosine,0.75,0.9768359211312487,27,0
had,0.03986398873364161,cosine,0.75,0.9768359211312487,27,0
a,0.046353681825206314,cosine,0.75,0.9768359211312487,27,0
fantastic,-0.21034787503819047,cosine,0.75,0.9768359211312487,27,0
time,-0.0550612247901158,cosine,0.75,0.9768359211312487,27,0
at,0.010880998098429143,cosine,0.75,0.9768359211312487,27,0
this,-0.09875658788254417,cosine,0.75,0.9768359211312487,27,0
event,-0.021064816172445457,cosine,0.75,0.9768359211312487,27,0
It,0.058556411732152154,cosine,0.75,0.9768359211312487,27,0
was,0.04054029978921053,cosine,0.75,0.9768359211312487,27,0
well,-0.01318832331230551,cosine,0.75,0.9768359211312487,27,0
organized,-0.15364670951636916,cosine,0.75,0.9768359211312487,27,0
and,-0.027289171902975477,cosine,0.75,0.9768359211312487,27,0
enjoyed,0.00848924816890245,cosine,0.75,0.9768359211312487,27,0
every,-0.13406177085119353,cosine,0.75,0.9768359211312487,27,0
moment,-0.03672606321480747,cosine,0.75,0.9768359211312487,27,0
of,-9.23112844327488e-07,cosine,0.75,0.9768359211312487,27,0
it,-0.02422987301330199,cosine,0.75,0.9768359211312487,27,0
The,0.04172026888655482,cosine,0.75,0.9768359211312487,27,0
speakers,-0.030675310875472823,cosine,0.75,0.9768359211312487,27,0
were,0.06461789489926416,cosine,0.75,0.9768359211312487,27,0
knowledgeable,0.006320315902768388,cosine,0.75,0.9768359211312487,27,0
insightful,-0.20778753491629007,cosine,0.75,0.9768359211312487,27,0
learned,-0.059048778204445825,cosine,0.75,0.9768359211312487,27,0
lot,0.027864714119972916,cosine,0.75,0.9768359211312487,27,0
from,-0.008813146339664306,cosine,0.75,0.9768359211312487,27,0
them,-0.009574829228771686,cosine,0.75,0.9768359211312487,27,0
I,-0.03845414159784467,cosine,0.75,0.9768476859893449,27,1
had,0.03711819917479704,cosine,0.75,0.9768476859893449,27,1
a,0.051269222962692165,cosine,0.75,0.9768476859893449,27,1
fantastic,-0.20376607749083359,cosine,0.75,0.9768476859893449,27,1
time,-0.043321514339957935,cosine,0.75,0.9768476859893449,27,1
at,-0.0034016197965109846,cosine,0.75,0.9768476859893449,27,1
this,-0.06908773083808027,cosine,0.75,0.9768476859893449,27,1
event,-0.018799322702639412,cosine,0.75,0.9768476859893449,27,1
It,0.05899615514305127,cosine,0.75,0.9768476859893449,27,1
was,0.0490583075460488,cosine,0.75,0.9768476859893449,27,1
well,-0.01444314033793482,cosine,0.75,0.9768476859893449,27,1
organized,-0.15630015401505784,cosine,0.75,0.9768476859893449,27,1
and,-0.02040031450233032,cosine,0.75,0.9768476859893449,27,1
enjoyed,0.013822971795339707,cosine,0.75,0.9768476859893449,27,1
every,-0.13498678618942522,cosine,0.75,0.9768476859893449,27,1
moment,-0.04288281161267877,cosine,0.75,0.9768476859893449,27,1
of,0.021803529513901212,cosine,0.75,0.9768476859893449,27,1
it,-0.01626513434390354,cosine,0.75,0.9768476859893449,27,1
The,0.03715964025727828,cosine,0.75,0.9768476859893449,27,1
speakers,-0.0370613298103093,cosine,0.75,0.9768476859893449,27,1
were,0.06774470465113923,cosine,0.75,0.9768476859893449,27,1
knowledgeable,-0.011367288555228746,cosine,0.75,0.9768476859893449,27,1
insightful,-0.19883277408859287,cosine,0.75,0.9768476859893449,27,1
learned,-0.061072706637733704,cosine,0.75,0.9768476859893449,27,1
lot,0.030369604299205384,cosine,0.75,0.9768476859893449,27,1
from,-0.011154110964211606,cosine,0.75,0.9768476859893449,27,1
them,-0.015003232344631693,cosine,0.75,0.9768476859893449,27,1
I,-0.04808280255800785,cosine,0.75,0.9768562097140127,27,2
had,0.04313266403601556,cosine,0.75,0.9768562097140127,27,2
a,0.04639896387591755,cosine,0.75,0.9768562097140127,27,2
fantastic,-0.216189259145742,cosine,0.75,0.9768562097140127,27,2
time,-0.04183101214401329,cosine,0.75,0.9768562097140127,27,2
at,0.007207966069837798,cosine,0.75,0.9768562097140127,27,2
this,-0.0800657799518958,cosine,0.75,0.9768562097140127,27,2
event,-0.01999270527021425,cosine,0.75,0.9768562097140127,27,2
It,0.05606021305013108,cosine,0.75,0.9768562097140127,27,2
was,0.051834391429523174,cosine,0.75,0.9768562097140127,27,2
well,-0.010036496226351742,cosine,0.75,0.9768562097140127,27,2
organized,-0.1419579162630411,cosine,0.75,0.9768562097140127,27,2
and,-0.0424407209555356,cosine,0.75,0.9768562097140127,27,2
enjoyed,0.00946074150083529,cosine,0.75,0.9768562097140127,27,2
every,-0.11725860247184468,cosine,0.75,0.9768562097140127,27,2
moment,-0.04154578595082249,cosine,0.75,0.9768562097140127,27,2
of,0.014342143860856955,cosine,0.75,0.9768562097140127,27,2
it,-0.02875403525895966,cosine,0.75,0.9768562097140127,27,2
The,0.029789733409437198,cosine,0.75,0.9768562097140127,27,2
speakers,-0.03000549992078317,cosine,0.75,0.9768562097140127,27,2
were,0.060623628185582326,cosine,0.75,0.9768562097140127,27,2
knowledgeable,0.0033195306820110668,cosine,0.75,0.9768562097140127,27,2
insightful,-0.20207209175063337,cosine,0.75,0.9768562097140127,27,2
